RNC Cliente,NCF,Fecha,Monto Facturado,ITBIS Facturado,Monto Exento,Retención ISR,Retención ITBIS
1301234567,B0200001001,2025-01-10,485230.00,87341.40,0,0,0
,,2025-01-15,395000.00,71100.00,0,0,0
1302345678,B0200001003,2025-02-02,520000.00,93600.00,0,0,0
1303456789,B0200001004,2025-02-18,378000.00,68040.00,0,0,0
1304567890,B0200001005,2025-03-05,412500.00,74250.00,0,0,0
1305678901,B0200001006,2025-03-22,688000.00,123840.00,0,0,0
1306789012,B0200001007,2025-04-08,295000.00,53100.00,0,0,0
1307890123,B0200001008,2025-04-25,542000.00,97560.00,0,0,0
1308901234,B0200001009,2025-05-11,418000.00,75240.00,0,0,0
1309012345,B0200001010,2025-05-28,635000.00,114300.00,0,0,0
1310234567,B0200001011,2025-06-14,489000.00,88020.00,0,0,0
1311345678,B0200001012,2025-06-30,378500.00,68130.00,0,0,0
1312456789,B0200001013,2025-07-17,612000.00,110160.00,0,0,0
1313567890,B0200001014,2025-07-31,527000.00,94860.00,0,0,0
1314678901,B0200001015,2025-08-15,442000.00,79560.00,0,0,0
1315789012,B0200001016,2025-09-02,385000.00,69300.00,0,0,0
1316890123,B0200001017,2025-09-19,718500.00,129330.00,0,0,0
1317901234,B0200001018,2025-10-06,396000.00,71280.00,0,0,0
1318012345,B0200001019,2025-10-23,462500.00,83250.00,0,0,0
1319123456,B0200001020,2025-11-09,538000.00,96840.00,0,0,0
1320234567,B0200001021,2025-11-26,631137.70,113604.79,0,0,0
1321345678,B0200001022,2025-12-13,450000.00,81000.00,0,0,0
1322456789,B0200001023,2025-12-29,393000.00,70740.00,0,0,0
